pregunta,opcion_1,opcion_2,opcion_3,correcta,explicacion
¿Cuál es la velocidad máxima en zona urbana?,40 km/h,50 km/h,60 km/h,2,La velocidad máxima permitida en zonas urbanas es 50 km/h salvo señalización distinta.
¿Qué indica una señal de color amarillo?,Información,Obligación,Advertencia de peligro,3,Las señales amarillas advierten riesgos o peligros en la vía.
¿A qué distancia se debe mantener con el vehículo de adelante?,A 2 metros,A una distancia que permita reaccionar,A 10 metros,2,La distancia debe permitir detenerse con seguridad.
¿Qué debe hacer si el semáforo cambia a amarillo?,Acelerar para cruzar,Detenerse,Continuar igual,2,La luz amarilla exige detenerse si puede hacerse con seguridad.
¿Qué significa una señal octogonal roja?,Ceda el paso,Pare,No estacionar,2,La señal octogonal roja corresponde a Pare.
¿Quién tiene prioridad en un paso peatonal?,Los vehículos,Los peatones,Las bicicletas,2,Los peatones tienen prioridad en los cruces habilitados.
¿Qué documento acredita la autorización para conducir?,Permiso de circulación,Licencia de conducir,SOAP,2,La licencia acredita la autorización legal para conducir.
¿Qué debe hacer antes de cambiar de pista?,Acelerar,Señalizar y verificar espejos,Mantener velocidad,2,Siempre debe señalizar y verificar que sea seguro.
¿Qué significa una luz roja del semáforo?,Precaución,Detención obligatoria,Libre tránsito,2,La luz roja obliga a detenerse.
¿Cuál es el efecto principal del alcohol al conducir?,Mejora reflejos,Disminuye capacidades,Aumenta concentración,2,El alcohol afecta percepción y tiempo de reacción.
¿Qué elemento es obligatorio para todos los ocupantes?,Guantes,Cinturón de seguridad,Gorro reflectante,2,El cinturón es obligatorio para todos los ocupantes.
¿Qué debe hacer al acercarse a un cruce ferroviario?,Aumentar velocidad,Reducir velocidad y observar,Tocar bocina continuamente,2,Debe verificar que no se aproxime un tren.
¿Cuál es la función del sistema ABS?,Reducir consumo,Evitar bloqueo de ruedas,Aumentar potencia,2,Permite mantener control durante frenadas fuertes.
¿Qué indica una línea continua en la calzada?,Puede adelantar,No debe cruzarse,Estacionar permitido,2,La línea continua restringe el cambio de pista o adelantamiento.
¿Qué debe hacer ante una señal Pare?,Reducir velocidad solamente,Detenerse completamente,Tocar bocina,2,La detención debe ser total.
¿Qué significa la conducción defensiva?,Conducir rápido,Anticiparse a riesgos,Conducir solo de día,2,Busca prevenir accidentes anticipando peligros.
¿Qué debe revisar antes de iniciar un viaje?,Solo combustible,Estado general del vehículo,Solo neumáticos delanteros,2,La revisión completa mejora la seguridad.
¿Cuál es la distancia mínima recomendada en condiciones normales?,Regla de 3 segundos,1 segundo,No importa,1,La regla de los 3 segundos ayuda a mantener una distancia segura.
¿Qué indica una señal triangular con borde rojo?,Información,Advertencia de peligro,Estacionamiento,2,Las señales triangulares advierten peligros.
¿Qué debe hacer si escucha una sirena de emergencia?,Ignorarla,Ceder el paso,Acelerar,2,Debe facilitar el paso de vehículos de emergencia.
¿Cuándo es obligatorio encender luces?,Solo de noche,Cuando la visibilidad lo requiera,Nunca de día,2,Las luces deben usarse según condiciones de visibilidad.
¿Qué provoca el uso del celular al conducir?,Mayor atención,Distracción significativa,Mejor coordinación,2,El celular aumenta el riesgo de accidentes.
¿Qué significa una línea segmentada?,Prohibición absoluta,Puede cruzarse con precaución,No puede adelantarse,2,Permite maniobras seguras cuando las condiciones lo permiten.
¿Qué hacer ante un peatón que cruza inesperadamente?,Acelerar,Frenar y evitar riesgo,Tocar bocina únicamente,2,Debe protegerse la integridad del peatón.
¿Cuál es el objetivo del cinturón de seguridad?,Comodidad,Reducir lesiones,Evitar multas solamente,2,Reduce lesiones y riesgo de muerte.
